GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AH1OE001,AH1OE002,AH1OE003,AH1OE004,AH1OE005,AH1OE006,AH1OE007,AH1OE008,AH1OE009,AH1OE010,AH1OE011,AH1OE012,AH1OE013,AH1OE014,AH1OE015,AH1OE016,AH1OE017,NAME_M,AH1OM001,AH1OM002,AH1OM003,AH1OM004,AH1OM005,AH1OM006,AH1OM007,AH1OM008,AH1OM009,AH1OM010,AH1OM011,AH1OM012,AH1OM013,AH1OM014,AH1OM015,AH1OM016,AH1OM017
"G12005700104011","2013-2017",,,"Florida","12","Hillsborough County","057",,,"010401","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 104.01, Hillsborough County, Florida",637,80,29,11,72,0,15,42,15,7,18,228,80,11,0,6,23,"Block Group 1, Census Tract 104.01, Hillsborough County, Florida",155,83,35,17,98,13,26,35,24,14,28,110,85,17,13,14,31
"G12005700104012","2013-2017",,,"Florida","12","Hillsborough County","057",,,"010401","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 104.01, Hillsborough County, Florida",1180,167,18,46,90,105,36,158,49,164,160,89,44,26,9,19,0,"Block Group 2, Census Tract 104.01, Hillsborough County, Florida",157,114,29,57,70,88,54,105,50,111,113,77,45,31,15,30,13
"G12005700104013","2013-2017",,,"Florida","12","Hillsborough County","057",,,"010401","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 104.01, Hillsborough County, Florida",406,0,43,0,10,52,0,18,36,45,37,59,72,34,0,0,0,"Block Group 3, Census Tract 104.01, Hillsborough County, Florida",87,13,41,13,15,48,13,28,41,33,33,59,57,39,13,13,13
"G12005700104021","2013-2017",,,"Florida","12","Hillsborough County","057",,,"010402","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 104.02, Hillsborough County, Florida",652,151,73,34,60,86,66,66,39,10,9,50,0,8,0,0,0,"Block Group 1, Census Tract 104.02, Hillsborough County, Florida",124,93,63,50,67,73,52,49,50,16,14,61,13,12,13,13,13
"G12005700104022","2013-2017",,,"Florida","12","Hillsborough County","057",,,"010402","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 104.02, Hillsborough County, Florida",224,42,9,10,54,35,0,20,24,8,22,0,0,0,0,0,0,"Block Group 2, Census Tract 104.02, Hillsborough County, Florida",89,33,16,16,55,50,13,32,38,12,25,13,13,13,13,13,13
"G12005700104023","2013-2017",,,"Florida","12","Hillsborough County","057",,,"010402","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 104.02, Hillsborough County, Florida",987,58,40,7,67,78,103,156,72,8,120,41,108,62,9,49,9,"Block Group 3, Census Tract 104.02, Hillsborough County, Florida",148,61,50,13,62,66,89,83,61,13,78,48,70,52,14,50,15
"G12005700104024","2013-2017",,,"Florida","12","Hillsborough County","057",,,"010402","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 104.02, Hillsborough County, Florida",450,0,0,0,10,12,9,8,49,29,38,112,115,27,19,22,0,"Block Group 4, Census Tract 104.02, Hillsborough County, Florida",91,13,13,13,15,17,14,12,45,47,29,63,65,36,21,19,13
"G12005700105011","2013-2017",,,"Florida","12","Hillsborough County","057",,,"010501","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 105.01, Hillsborough County, Florida",524,52,14,181,36,0,45,0,12,30,20,126,8,0,0,0,0,"Block Group 1, Census Tract 105.01, Hillsborough County, Florida",206,52,22,156,60,13,57,13,20,49,32,131,18,13,13,13,13
"G12005700105012","2013-2017",,,"Florida","12","Hillsborough County","057",,,"010501","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 105.01, Hillsborough County, Florida",1017,67,42,134,88,93,84,91,56,0,86,133,48,63,15,17,0,"Block Group 2, Census Tract 105.01, Hillsborough County, Florida",207,44,47,115,103,83,123,99,75,13,95,106,57,60,27,29,13
"G12005700105013","2013-2017",,,"Florida","12","Hillsborough County","057",,,"010501","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 105.01, Hillsborough County, Florida",483,113,43,74,31,0,43,0,24,35,81,15,24,0,0,0,0,"Block Group 3, Census Tract 105.01, Hillsborough County, Florida",161,87,48,96,39,13,53,13,38,43,81,27,38,13,13,13,13
"G12005700105021","2013-2017",,,"Florida","12","Hillsborough County","057",,,"010502","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 105.02, Hillsborough County, Florida",224,0,14,20,9,2,30,5,28,14,33,25,12,4,23,0,5,"Block Group 1, Census Tract 105.02, Hillsborough County, Florida",48,13,15,18,11,5,27,7,18,15,21,17,19,8,36,13,7
"G12005700105022","2013-2017",,,"Florida","12","Hillsborough County","057",,,"010502","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 105.02, Hillsborough County, Florida",717,158,49,36,50,42,19,35,12,65,66,54,81,34,12,0,4,"Block Group 2, Census Tract 105.02, Hillsborough County, Florida",86,77,44,27,45,40,19,24,10,37,44,30,66,21,15,13,7
"G12005700106001","2013-2017",,,"Florida","12","Hillsborough County","057",,,"010600","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 106, Hillsborough County, Florida",295,42,0,18,0,56,44,45,0,0,28,28,34,0,0,0,0,"Block Group 1, Census Tract 106, Hillsborough County, Florida",74,48,13,21,13,62,47,54,13,13,28,31,37,13,13,13,13
"G12005700106002","2013-2017",,,"Florida","12","Hillsborough County","057",,,"010600","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 106, Hillsborough County, Florida",511,93,0,29,0,18,19,34,14,0,28,75,33,55,11,72,30,"Block Group 2, Census Tract 106, Hillsborough County, Florida",94,70,13,27,13,19,18,29,15,13,25,43,26,45,18,56,28
"G12005700106003","2013-2017",,,"Florida","12","Hillsborough County","057",,,"010600","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 106, Hillsborough County, Florida",345,17,0,0,0,28,28,28,19,0,8,39,51,61,28,32,6,"Block Group 3, Census Tract 106, Hillsborough County, Florida",87,21,13,13,13,27,26,40,29,13,12,31,39,37,23,43,11
"G12005700107011","2013-2017",,,"Florida","12","Hillsborough County","057",,,"010701","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 107.01, Hillsborough County, Florida",497,29,0,13,11,0,0,0,11,0,25,58,98,61,84,77,30,"Block Group 1, Census Tract 107.01, Hillsborough County, Florida",96,35,13,20,18,13,13,13,17,13,31,38,78,48,60,60,34
"G12005700107012","2013-2017",,,"Florida","12","Hillsborough County","057",,,"010701","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 107.01, Hillsborough County, Florida",1119,69,25,26,19,37,118,10,43,59,85,137,110,35,147,51,148,"Block Group 2, Census Tract 107.01, Hillsborough County, Florida",160,65,36,55,33,43,176,20,37,81,136,107,80,33,113,43,76
